booking_id,number_of_nights,date_check_in,date_check_out,total_price,user_id
1,5,2010-03-09,2010-03-14,300.0,46814930
2,5,2010-03-18,2010-03-23,300.0,119982852
3,2,2010-04-08,2010-04-10,120.0,13257090
4,2,2010-04-19,2010-04-21,120.0,1284951
5,3,2010-04-23,2010-04-26,180.0,301901961
6,1,2010-05-09,2010-05-10,60.0,79504976
7,3,2010-05-12,2010-05-15,180.0,92177198
8,2,2010-05-21,2010-05-23,120.0,2581715
9,5,2010-05-19,2010-05-24,300.0,854356
10,4,2010-06-21,2010-06-25,240.0,20027605
11,1,2010-06-27,2010-06-28,60.0,130412312
12,3,2010-09-06,2010-09-09,180.0,179073269
13,1,2010-09-11,2010-09-12,60.0,5089465
14,1,2010-09-14,2010-09-15,60.0,10330095
15,5,2010-09-22,2010-09-27,300.0,87043625
16,3,2010-10-07,2010-10-10,180.0,41563621
17,1,2010-10-13,2010-10-14,60.0,26893779
18,1,2010-11-01,2010-11-02,60.0,44034356
19,1,2010-11-13,2010-11-14,60.0,102637544
20,5,2010-11-23,2010-11-28,300.0,5382153
21,2,2010-12-05,2010-12-07,120.0,34673015
22,4,2011-01-15,2011-01-19,240.0,2563986
23,1,2011-02-27,2011-02-28,60.0,20076123
24,1,2011-03-10,2011-03-11,60.0,1842293
25,3,2011-03-15,2011-03-18,180.0,13963074
26,1,2011-03-17,2011-03-18,60.0,2847268
27,4,2011-03-25,2011-03-29,240.0,67015445
28,2,2011-04-18,2011-04-20,120.0,24511899
29,3,2011-04-23,2011-04-26,180.0,36711312
30,5,2011-05-01,2011-05-06,300.0,44939562
31,4,2011-05-12,2011-05-16,240.0,1985408
32,4,2011-05-20,2011-05-24,240.0,203271
33,3,2011-05-24,2011-05-27,180.0,66983554
34,1,2011-06-06,2011-06-07,60.0,1029549
35,2,2011-06-11,2011-06-13,120.0,26667094
36,3,2011-06-18,2011-06-21,180.0,472840
37,1,2011-06-24,2011-06-25,60.0,15756779
38,4,2011-06-24,2011-06-28,240.0,3898452
39,4,2011-07-01,2011-07-05,240.0,109698992
40,1,2011-07-07,2011-07-08,60.0,154718569
41,2,2011-07-09,2011-07-11,120.0,196825452
42,3,2011-07-11,2011-07-14,180.0,47521573
43,2,2011-07-18,2011-07-20,120.0,51127160
44,5,2011-08-01,2011-08-06,300.0,20878404
45,2,2011-08-10,2011-08-12,120.0,38362657
46,4,2011-08-12,2011-08-16,240.0,22391370
47,5,2011-08-21,2011-08-26,300.0,5906378
48,1,2011-08-26,2011-08-27,60.0,11031291
49,1,2011-09-28,2011-09-29,60.0,1470685
50,2,2011-10-05,2011-10-07,120.0,87181403
51,3,2011-10-11,2011-10-14,180.0,44913955
52,4,2011-10-14,2011-10-18,240.0,6832983
53,4,2011-10-22,2011-10-26,240.0,14381085
54,1,2011-12-23,2011-12-24,60.0,1290565
55,1,2016-02-27,2016-02-28,60.0,49198967
56,2,2016-03-29,2016-03-31,120.0,13204867
57,2,2016-04-03,2016-04-05,120.0,22391370
58,5,2016-04-20,2016-04-25,300.0,15291096
59,3,2016-05-26,2016-05-29,180.0,22591305
60,3,2019-01-15,2019-01-18,180.0,4874066
61,5,2019-03-04,2019-03-09,300.0,5132742
