id,listing_url,scrape_id,last_scraped,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6369,https://www.airbnb.com/rooms/6369,20210413152844,2021-04-15,"Rooftop terrace room ,  ensuite bathroom","Excellent connection with the AIRPORT and EXHIBITION GROUNDS IFEMA<br /><br />Lively neighboorhood with shops, bars, restaurants and supermarkets.<br /><br /><b>The space</b><br />BETTER THAN A HOTEL.Upscale neighboorhood (Metro Colombia direct to airport,super convenient entrance right next to the building ). Lots of shops. 20min by public transport to downtown (direct bus or subway). <br /> <br />The non smoking room ,(16sqm/ 180sqfeet) with double bed , has lots of privacy with its own ENSUITE BATHROOM-inside the room- and a door with direct access to the huge sunny and full of plants terraCEe(620 sq feet / 60 sqm)).  <br /> <br />The room has as well AIR CON / HEATING and WIFI INTERNET.  <br /> <br />Guests have full acces to the rest of the flat, including kitchen with all appliances (coffe machine, microwave, water boiler, dishwasher : no need to clean dishes!, etc... <br />The apartment is situated in a pleasant neighborhood. <br /> <br />Contact , please, if you need more infor",,https://a0.muscache.com/pictures/683224/4cc318c4_original.jpg,13660,https://www.airbnb.com/users/show/13660,Simon,2009-04-16,"Madrid, Madrid, Spain","Gay couple, heterofriendly, enjoy having guests home. I am Marketing professional and Simon is contemporary dancer.
Fluent in several languages: spanish, english, german, russian..",within an hour,100%,75%,t,https://a0.muscache.com/im/pictures/user/1c7938e4-b6da-433a-a2ac-068d5447b31c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1c7938e4-b6da-433a-a2ac-068d5447b31c.jpg?aki_policy=profile_x_medium,Hispanoamérica,1,1,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id']",t,t,,Hispanoamérica,Chamartín,40.45724,-3.67688,Private room in apartment,Private room,2,,1 shared bath,1,1,"[""Kitchen"", ""Elevator"", ""Extra pillows and blankets"", ""Bed linens"", ""Hangers"", ""Iron"", ""Shampoo"", ""Wifi"", ""Heating"", ""Cooking basics"", ""Hot water"", ""Pocket wifi"", ""Dishes and silverware"", ""Long term stays allowed"", ""Hair dryer"", ""Washer"", ""Air conditioning"", ""Essentials""]",$60.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,30,60,90,180,2021-04-15,78,3,0,2010-03-14,2020-09-20,98,10,10,10,10,10,10,,f,1,0,1,0,0.58
21853,https://www.airbnb.com/rooms/21853,20210413152844,2021-04-16,Bright and airy room,"We have a quiet and sunny room with a good view in our 3 bedroom flat. In a welcoming atmosphere, our clean and respectful flatshare is located in a leafy neighbourhood with all facilities: shops, library, cafés and bars, a swimming pools, gyms, and fantastic parks. Well connected by metro and bus with the centre: 15 minutes. For walks, we are also a 20 min stroll away from the riverside.<br /><br /><b>The space</b><br />I am living in a nice flat near the centre of Madrid (15 minutes by bus). We are relaxed, clean, and independent. The flat is located in a leafy neighbourhood with plenty of facilities: little shops, supermarkets, public library, swimming pools (covered and summer ones), tennis courts and free parking outside the flat. It is well connected by public transport (various bus and metro lines).<br /><br />The room is sunny and well presented. There are two bathrooms, one of which you would share with a guest. It has triple glazing and we provide fresh bedlinen and towels, s","We live in a leafy neighbourhood with plenty of green areas and recreational opportunities such as the library, gyms, swimming pools (covered and summer ones), and the tennis courts. Parking is free outside and it is relatively easy to park near the flat.",https://a0.muscache.com/pictures/68483181/87bcac58_original.jpg,83531,https://www.airbnb.com/users/show/83531,Abdel,2010-02-21,"Madrid, Madrid, Spain","EN-ES-FR
EN
Hi everybody: I'm Abdel. I'm spanish originaly from Casablanca (Morocco). I've been living for many years in Andlusian area and now in Madrid that I like very much, since 11 years. My job is related with languages and communication. I'm a quiet person. I don't smoke, and I do some sport. I like nature, painting and photography.
Please, do ask me any thing you consider useful for you. 
Kind regards.
 -----
ES
Hola chicos y chicas: soy Abdel. Soy español original de Casablanca, Marruecos. He vivido muchos años en Andalucía y ahora llevo casi 11 años en Madrid, que me encanta. Mi trabajo está relacionado con las lenguas y la comunicación. Soy una persona tranquila y algo reflexiva. No fumo, hago algo de deportes, y me gusta además de la naturaleza, la puntura y la fotografía.
En caso de necesidad, no duden en plantearme cualquier pregunta que consideran oportuna. 
Un cordial saludo.

FR
Bonjour, tout le monde,
Je suis Abdel, espagnol d'origine marocaine (de Casablanca). J'ai vécu pendant plusieurs années en Andalousie, mais maintenant je suis installé à Madrid depuis 11 ans. Je suis une personne cool et un peu pensatif. Je ne fume pas et je pratique un peu de sport. D'autre part, je suis un amoureux de la nature, la peinture et la photographie. S'il vous plait, n'hesitez pas de me poser des questions, si vous en avez besoin ...
Cordialement,",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/83531/profile_pic/1338760896/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/83531/profile_pic/1338760896/original.jpg?aki_policy=profile_x_medium,Aluche,2,2,"['email', 'phone', 'reviews', 'manual_offline', 'jumio', 'offline_government_id', 'government_id']",t,t,"Madrid, Spain",Cármenes,Latina,40.40381,-3.7413,Private room in apartment,Private room,1,,1 bath,1,1,"[""Bed linens"", ""Refrigerator"", ""Dishes and silverware"", ""TV"", ""Air conditioning"", ""Essentials"", ""Coffee maker"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Hangers"", ""Cooking basics"", ""Hot water"", ""Pocket wifi"", ""Hair dryer"", ""Dedicated workspace"", ""Elevator"", ""Iron"", ""Long term stays allowed"", ""First aid kit"", ""Washer"", ""Kitchen"", ""Free parking on premises"", ""Lock on bedroom door"", ""Oven"", ""Shampoo"", ""Microwave"", ""Wifi"", ""Heating""]",$31.00,4,40,4,4,40,40,4.0,40.0,,t,29,59,89,364,2021-04-16,33,0,0,2014-10-10,2018-07-15,92,9,9,10,10,8,9,,f,2,0,2,0,0.42
23001,https://www.airbnb.com/rooms/23001,20210413152844,2021-04-16,Apartmento Arganzuela- Madrid Rio,"Apartamento de tres dormitorios dobles, gran salon, cocina equipada, dos baños, ducha y bañera, totalmente amueblado, capacidad máxima seis personas. Calefación, aire acondicionado, internet, vigilancia 24 horas, posiblidad de aparcamiento en el edificio, zona residencial, con parques, restaurantes, medios de trasnsporte ,...<br /><br /><b>The space</b><br />Apartamento de lujo, tres dormitorios dobles independientes, dos baños completos con bañera, cocina totalmente equipada, gran salón. El apartamento dispone de vigilancia 24 horas, piscina de verano, opcionalmente aparcamiento. Todos los servicios incluidos, dispone de acceso a internet. <br />Chek-in apartamento de 20 € <br />chek out apartamento y limpieza de salida de 50 € <br />Chek-in-out seran abonados en destino <br />Aparcamiento opcional 10 € noche<br /><br /><b>Guest access</b><br />Piscina de verano, zonas comunes en el interior de la urbanización","Barrio Arganzuela, junto a Madrid Rio, zonas comerciales, restaurantes, supermercados, centros de salud, colegios, medios de transporte,....",https://a0.muscache.com/pictures/58e6a770-509c-4e1b-a575-2d7231d94faa.jpg,82175,https://www.airbnb.com/users/show/82175,Jesus,2010-02-17,"Madrid, Community of Madrid, Spain","Hi,

Welcome to my apartments in the downtown,.... Madrid, Budapest, Malaga If you need any information, you can contact me. 

I look forward hearing from you!


Cheers",within an hour,100%,0%,f,https://a0.muscache.com/im/pictures/user/52bdf684-be3b-4cf8-aa76-7a3ef5262a2b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/52bdf684-be3b-4cf8-aa76-7a3ef5262a2b.jpg?aki_policy=profile_x_medium,Legazpi,10,10,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,"Madrid, Comunidad de Madrid, Spain",Legazpi,Arganzuela,40.3884,-3.69511,Entire apartment,Entire home/apt,6,,2 baths,3,5,"[""Pool"", ""Dishwasher"", ""Bed linens"", ""Refrigerator"", ""Crib"", ""Dishes and silverware"", ""TV"", ""Dryer"", ""Essentials"", ""Coffee maker"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Hangers"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Dedicated workspace"", ""Bathtub"", ""Children\u2019s dinnerware"", ""Stove"", ""Elevator"", ""Iron"", ""Luggage dropoff allowed"", ""Ethernet connection"", ""Long term stays allowed"", ""Washer"", ""Single level home"", ""Kitchen"", ""Paid parking off premises"", ""Patio or balcony"", ""Oven"", ""Room-darkening shades"", ""Shampoo"", ""Microwave"", ""Wifi"", ""Heating"", ""Game console"", ""Children\u2019s books and toys""]",$50.00,15,730,15,15,730,730,15.0,730.0,,t,1,1,1,1,2021-04-16,0,0,0,,,,,,,,,,,f,7,6,1,0,
24805,https://www.airbnb.com/rooms/24805,20210413152844,2021-04-15,Gran Via Studio Madrid,"Studio located 50 meters from Gran Via, next to the Plaza de Callao. In the best shopping and cinemas and theaters. Comfortable apartment for 3 people. 1 bed and  the sofa bed in the lounge. Fully furnished.<br /><br /><b>The space</b><br />LOCATION. <br />Brand new flats near the Atlantic Hotel, 50 meters from Gran Vía and Zara, H & M, Desigual, theaters and all the premieres and Music of Madrid. <br />This home is located in a prime location in the heart of entertainment and shopping. A step away from everything you want to see in Madrid. The Puerta del Sol, Plaza Mayor, the Mercado de San Miguel, Theatre Royal and Royal Palace <br />The area is known as Plaza de Callao and near Chueca, Plaza Mayor is the most emblematic monument of the city, where cultural and leisure activities is concentrated: international restaurants, terraces and shops trends. No need or public transportation, you're just steps from the famous La Latina, the Royal Palace, Opera House, Sun, and of course Gran Vi","The area is next to the Gran Via, so people living in the area is mostly tourists. Being so well located, it is very interesting for short stays.",https://a0.muscache.com/pictures/miso/Hosting-24805/original/ceb32252-3c7b-4899-9b4a-db4a78d3e6f3.jpeg,346366726,https://www.airbnb.com/users/show/346366726,A,2020-05-15,ES,"",N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/d316724e-c1be-4dee-9c22-bf8b3c72dd6d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d316724e-c1be-4dee-9c22-bf8b3c72dd6d.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,"Madrid, Spain",Universidad,Centro,40.42183,-3.70529,Entire apartment,Entire home/apt,3,,1 bath,,1,"[""Refrigerator"", ""Host greets you"", ""Dishes and silverware"", ""TV"", ""Air conditioning"", ""Essentials"", ""Coffee maker"", ""Paid parking on premises"", ""Fire extinguisher"", ""Pack \u2019n Play/travel crib"", ""Hangers"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Dedicated workspace"", ""Stove"", ""Elevator"", ""Iron"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Washer"", ""Kitchen"", ""Oven"", ""Shampoo"", ""Microwave"", ""Wifi"", ""Heating"", ""Cleaning before checkout""]",$92.00,5,730,5,5,1125,1125,5.0,1125.0,,t,12,42,72,72,2021-04-15,10,0,0,2014-11-29,2020-03-01,98,9,10,10,10,10,10,,t,1,1,0,0,0.13
26825,https://www.airbnb.com/rooms/26825,20210413152844,2021-04-15,Single Room whith private Bathroom,"Nice and cozy roon for one person with a private bathroom only for you.<br /><br /><b>The space</b><br />Nice and cozy roon for one person with a private bathroom only for you. Air conditioning and heating. Situated in a quiet neighborhood with many restaurants and supermarkets. It's very near the Subway's Legazpi and Planetarium. Five minutes to the city center in subway. Near the Atocha's train station and bus.  If you come in summer you will cool in the community swimming pool. <br />It's very near the Museo del Prado, Thyssen Bornemisza, Reina Sofía and The Rastro.<br />The apartment has 24 hour security.<br /><br />– Check in from 12 am <br />– Check out untill 11 am<br /><br /><b>Guest access</b><br />– Smoking is prohibited in rooms and public areas. If you break this rule, it carries a penalty of 30€ <br />– Forbidden to eat cooked food, or food and any drink that can stain or smell inside the room. I have a kitchen with dining room for this.<br /><br />- The kitchen is availab","Es un barrio muy tranquilo, en una zona de Madrid cerca del centro (15 minutos en Metro). Con bares, restaurantes y supermercados al lado. A cinco minutos del Matadero y Madrid Río y el Centro Comercial Plaza Río.",https://a0.muscache.com/pictures/149358/218d5b6b_original.jpg,114340,https://www.airbnb.com/users/show/114340,Agustina,2010-04-27,"Madrid, Madrid, Spain","I like Fine art, Photography, Cinema, travel and music.
If you have any question please contact me",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/114340/profile_pic/1272373168/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/114340/profile_pic/1272373168/original.jpg?aki_policy=profile_x_medium,Legazpi,1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,"Madrid, Comunidad de Madrid, Spain",Legazpi,Arganzuela,40.38975,-3.69018,Private room in house,Private room,1,,1 private bath,1,1,"[""Elevator"", ""Patio or balcony"", ""Bed linens"", ""Hangers"", ""Shampoo"", ""Refrigerator"", ""Wifi"", ""Heating"", ""Hot water"", ""Host greets you"", ""Dishes and silverware"", ""Long term stays allowed"", ""Hair dryer"", ""Essentials""]",$26.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,30,60,90,365,2021-04-15,149,0,0,2010-05-10,2020-03-12,94,10,10,10,9,9,9,,f,1,0,1,0,1.12
28200,https://www.airbnb.com/rooms/28200,20210413152844,2021-04-15,Apartamento Arganzuela Planetario,"<b>The space</b><br />Se alquila un fantástico apartamento en una de las mejores zonas de Madrid. <br />El piso consta de tres dormitorios dobles distribuidos en dos camas de matrimonio y en dos camas individuales.Hay dos baños.La cocina esta totalmente equipada con todo el menaje necesario para hacer la estancia lo mas cómoda y practica posible.El equipamiento consiste en lavadora,secadora,microondas.. El apartamento dispone de un gran salon totalmente independiente con tv ,sofá,butacas y una mesa de comedor con sillas. <br />El piso se encuentra en un edificio moderno, en una tercera planta con ascensor, exterior y con porteria 24 horas. <br />La casa cuenta con piscina de verano, internet, aire acondicionado,... aparcamiento opcional en el mismo edificio. <br />gastos de preparacion del apartamento sabanas toallas,...20 € <br />Gastos de limpieza del apartamento salida 30 € <br />Opcionalmente dispone de aparcamiento en el edificio <br />Opcionalmente se puede realizar transfer aero",,https://a0.muscache.com/pictures/156981/adb417b7_original.jpg,82175,https://www.airbnb.com/users/show/82175,Jesus,2010-02-17,"Madrid, Community of Madrid, Spain","Hi,

Welcome to my apartments in the downtown,.... Madrid, Budapest, Malaga If you need any information, you can contact me. 

I look forward hearing from you!


Cheers",within an hour,100%,0%,f,https://a0.muscache.com/im/pictures/user/52bdf684-be3b-4cf8-aa76-7a3ef5262a2b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/52bdf684-be3b-4cf8-aa76-7a3ef5262a2b.jpg?aki_policy=profile_x_medium,Legazpi,10,10,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']",t,t,,Legazpi,Arganzuela,40.3886,-3.69492,Entire apartment,Entire home/apt,6,,,3,4,"[""TV with standard cable"", ""Kitchen"", ""Elevator"", ""Pool"", ""Wifi"", ""Heating"", ""Cable TV"", ""Long term stays allowed"", ""Dryer"", ""Washer"", ""Air conditioning""]",$85.00,1,365,1,1,365,365,1.0,365.0,,t,30,60,90,365,2021-04-15,3,0,0,2011-07-04,2012-05-28,80,9,9,10,10,8,9,,f,7,6,1,0,0.03
30320,https://www.airbnb.com/rooms/30320,20210413152844,2021-04-17,Great Vacational Apartments,"<b>The space</b><br />Fully furnished spacious apartments for rental in vacational the very center of Madrid city. Accommodated up to 2 people. - Fully equipped Kitchen with microwave, fridge, cooking utensils, pots pans, plates, glasses, coffee maker - with cable TV - Air conditioning and heating - Private bedroom (up to 2 bedrooms per apartment) - Private bathroom with bath tub or shower plate - Wi-fi - Hot Water - Dishwasher - Laundy machine - Within walking distance Everything: Sol, Gran Via, Fuencarral, etc. A great and welcoming place DURING your trip to Madrid. We will be delighted to Accommodated you. Sincerely, Iustin",,https://a0.muscache.com/pictures/336868/f67409fb_original.jpg,130907,https://www.airbnb.com/users/show/130907,Dana,2010-05-24,"Madrid, Madrid, Spain","Apartasol offers a network of several spacious, comfortable apartments in the vibrant heart of Madrid.  The apartments are situated in three different locations, all very central and within walking distance from each other.  The sizes range from 35m 2 studios to 75m 2 two bedroom apartments and they can accommodate from 1 person up to 6 people depending on the type and size of the apartment.  Recently refurbished, the apartments are sure to preserve the traditional Madrileño look. Apartasol is well known for its extremely friendly staff and impeccable cleaning services",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/130907/profile_pic/1373028590/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/130907/profile_pic/1373028590/original.jpg?aki_policy=profile_x_medium,Sol,3,3,"['email', 'phone', 'reviews']",t,f,,Sol,Centro,40.41476,-3.70418,Entire apartment,Entire home/apt,2,,1 bath,1,2,"[""TV with standard cable"", ""Heating"", ""Air conditioning"", ""Long term stays allowed"", ""Elevator"", ""Cable TV"", ""Kitchen"", ""Wifi""]",$65.00,5,180,5,5,180,180,5.0,180.0,,t,16,46,76,351,2021-04-17,170,0,0,2010-07-06,2020-01-04,93,10,10,10,10,10,10,,f,3,3,0,0,1.29
30959,https://www.airbnb.com/rooms/30959,20210413152844,2021-04-16,Beautiful loft in Madrid Center,"Beautiful Loft 60m2 size just in the historical center of Madrid (Lavapiés/Tirso de Molina)  with 3 balconies, wood floor, Two columns and a library separate the sitting to the bedroom. New & bright bathroom and kitchen",,https://a0.muscache.com/pictures/78173471/835e5c34_original.jpg,132883,https://www.airbnb.com/users/show/132883,Angela,2010-05-26,"Madrid, Community of Madrid, Spain","Estoy empezando en Airbnb y deseo que mis huéspedes estén contentos. Me gusta mi ciudad Madrid. Y puedo recomendar lugares para disfrutar de su casco histórico, y de sus actividades culturales y sociales. Soy además poeta y puedo recomendaros bares y salas de actuaciones de monólogos, teatro y poesía",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/132883/profile_pic/1430685585/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/132883/profile_pic/1430685585/original.jpg?aki_policy=profile_x_medium,Embajadores,1,1,"['email', 'phone', 'facebook', 'reviews']",t,f,,Embajadores,Centro,40.41259,-3.70105,Entire loft,Entire home/apt,2,,1 bath,1,1,"[""TV with standard cable"", ""Kitchen"", ""Elevator"", ""Breakfast"", ""Shampoo"", ""Wifi"", ""Heating"", ""Cable TV"", ""Long term stays allowed"", ""Washer"", ""Essentials""]",$54.00,3,730,3,3,730,730,3.0,730.0,,t,0,0,0,0,2021-04-16,8,0,0,2015-05-12,2017-05-30,88,8,9,9,9,10,9,,f,1,1,0,0,0.11
37859,https://www.airbnb.com/rooms/37859,20210413152844,2021-04-15,"PISO, OPERA, MADRID, GRANDE","<b>The space</b><br />Hola soy Nacho, alquilo un bonito piso, está situado junto al Palacio Real en Madrid, ideal estudiantes o para vacaciones. <br />Edificio representativo de la zona, con más de 100 años de antigüedad y muy bien conservado, es un antiguo palacio.  <br />El piso cuenta con 110 metros cuadrados, dos dormitorios muy grandes, cocina muy amplia, donde podrás encontrar todo lo necesario por si quieres cocinar, vasos, platos, cubiertos.. también hay lavadora. La vivienda también tiene un baño, un salón y un comedor. <br />En el piso caben unas cinco personas, dispone de dos camas 150 cm de ancho, una cama single 90 cm y un sofá cama 120 cm. Las sábanas y las toallas están incluidas en el precio. Las mascotas están permitidas. Se puede fumar en la vivienda.  <br />Está en pleno centro de Madrid, situado en una de las mejores zonas, cerca del Palacio Real, de la Gran Vía, de la Puerta del Sol...irás andando a todos sitios! Aunque hay varias paradas de metro cercanas y varias",,https://a0.muscache.com/pictures/3399556/c2c8c6ce_original.jpg,162701,https://www.airbnb.com/users/show/162701,Nacho,2010-07-10,"Madrid, Madrid, Spain","Hola! somos dos chicos de Madrid,  sociables, nos encanta conocer  gente nueva y viajar por el mundo.
Nos encanta nuestra ciudad y disfrutamos mucho de ella, por eso, si necesitas alguna información estaremos encantados de ofrecértela.
Nos gustan mucho los animales,  y vivimos con un gato maravilloso. Se llama Kevin y está libre por toda la casa.",within an hour,100%,97%,t,https://a0.muscache.com/im/users/162701/profile_pic/1326986599/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/162701/profile_pic/1326986599/original.jpg?aki_policy=profile_x_medium,Palacio,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']",t,t,,Palacio,Centro,40.41844,-3.71073,Entire apartment,Entire home/apt,5,,,2,3,"[""Kitchen"", ""Elevator"", ""Dryer"", ""Iron"", ""Wifi"", ""Heating"", ""Long term stays allowed"", ""TV"", ""Hair dryer"", ""Washer""]","$1,400.00",3,730,3,3,730,730,3.0,730.0,,t,30,60,90,365,2021-04-15,0,0,0,,,,,,,,,,,f,3,1,2,0,
40718,https://www.airbnb.com/rooms/40718,20210413152844,2021-04-15,COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA,"<b>The space</b><br />Apartment, 1 Bedroom + Other (See Description), 1 Bath (Sleeps 3-4).<br /><br />This charming and stylish refurbished apartment is located in well known Chueca area, the heart of Madrid, and placed in a classic historical building. <br />The flat comprises of 1 double bedroom-there is an additional folding bed that can be put up if required-, lounge dinner, kitchen & shower room. It's situated on the 4rd floor and is bright-overlooking the central patio-, quiet and cosy.There is elevator up to 3rd floor. <br />Within only a few minutes walk, you can reach the main Museums (Reina Sofía, Prado, Thyssen), the most visited and emblematic touristic sites such as the Plaza Mayor, Puerta del Sol, Palacio Real or the Gran Vía and neighbourhoods such as La Latina. There are loads of bars, restaurants, shops, theatres & cinemas around Chueca. <br />The apartment is well connected on public transportation. There are three underground stations from 2 minutes to 8 minutes walk",,https://a0.muscache.com/pictures/99a841d9-e992-44a4-a9e0-f5467c96adeb.jpg,34217435,https://www.airbnb.com/users/show/34217435,Luis,2015-05-25,"Madrid, Community of Madrid, Spain","",within an hour,82%,97%,t,https://a0.muscache.com/im/pictures/user/c96f0fb5-0d2a-4563-8105-37a1ff5b5e60.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c96f0fb5-0d2a-4563-8105-37a1ff5b5e60.jpg?aki_policy=profile_x_medium,Malasaña,16,16,"['email', 'phone', 'reviews', 'jumio', 'government_id']",t,t,,Justicia,Centro,40.41969,-3.69736,Entire apartment,Entire home/apt,4,,1 bath,1,2,"[""Bed linens"", ""Refrigerator"", ""Crib"", ""Dishes and silverware"", ""TV"", ""Air conditioning"", ""Essentials"", ""Coffee maker"", ""Extra pillows and blankets"", ""Hangers"", ""Cooking basics"", ""Hot water"", ""Hair dryer"", ""Dedicated workspace"", ""Elevator"", ""Shower gel"", ""Iron"", ""Luggage dropoff allowed"", ""High chair"", ""Long term stays allowed"", ""Beachfront"", ""Washer"", ""Kitchen"", ""Paid parking off premises"", ""Shampoo"", ""Microwave"", ""Wifi"", ""Heating""]",$79.00,3,500,3,3,500,500,3.0,500.0,,t,0,0,28,302,2021-04-15,118,0,0,2010-08-09,2019-07-23,93,9,9,9,10,10,9,,t,11,11,0,0,0.91
