id,listing_id,date,reviewer_id,reviewer_name,comments,score
29428,6369,2010-03-14,84790,Nancy,"Simon and Arturo have the ultimate location in Madrid!  Steps from the Metro and bus line to everywhere you want to visit.  The accomodations are clean, well appointed and fantastic views of Madrid skyline.  We felt like it was a spa when walking into the flat.  We were greeted warmly and offered lots of information to get up and running for our short stay.  We wished we could have stayed longer and we highly recommend this location and neighborhood.",70
31018,6369,2010-03-23,84338,David,"Myself and Kristy originally planned on staying with Arturo for only a week, but when our plans changed, Arturo was very open to working with our changing schedule. Arturo and Simon were very friendly and helpful throughout our ten day visit. Our room was very clean and well kept. The view is amazing and the location is perfect. We're going to be traveling around Europe for another four months, and were joking that Arturo set the standards so high that we highly doubt we're going to be able to do any better, and it's true! Thank you so much Arturo and Simon, you were both very gracious, helpful and respectful of our space. I would highly recommend you and your flat to anyone traveling who wants a quite place with a great views, wonderful/clean rooms, a respectful and honest atmosphere. Thank you so much for being such an outstanding host! ",14
34694,6369,2010-04-10,98655,Marion,"We had a great time at Arturo and Simon's ! A cosy apartment and a wonderful terrasse, and above all, really nice hosts ! Thank you...",67
37146,6369,2010-04-21,109871,Kurt,"I very much enjoyed the stay.  
It's a wonderful room and bath in a great apartment with a lovely terrace. The location is perfect for me, especially given the easy access to the the Metro and the airport.  I look forward to returning!  
Kurt S.  ",14
38168,6369,2010-04-26,98901,Dennis,"Arturo and Simon are polite and friendly hosts who provide a very pleasant and convenient place to stay in Madrid.

Dennis",4
41548,6369,2010-05-10,95579,Deborah,"Perfect airbnb experience as all others say. Lots of reasonable cafes or places to buy prepared food to eat at home in area. Room with terrace and ensuite prefect. Easy to get to from airport and to go all around Madrid on the metro. Arturo and Simon are the perfect hosts, helpful and hospitable (loved Simons mint tea and thanks for use of computer and internet) but also you feel you have lots of privacy. ",17
42550,6369,2010-05-15,106586,Nina,"Great host, great apartment! I had the bath to myself which was great. Neighborhood is safe and clean. Convenient store, bank, coffee shop and tapas bar nearby. It's so close you can crawl to it. Overall a great experience:) Also glad there is an elevator. ",52
45278,6369,2010-05-23,112662,Bo,We had a wonderful time in Madrid and the stay at Arturo´s place is recommendable! Especially the terrace is a hit.,62
45618,6369,2010-05-24,18688,Charde,"We only stayed here for one night unfortunately, but it was superb value for money. Clean, sunny and spacious with welcoming hosts. It is not in the city centre, but Madrid is easily navigated with the metro, so that isn't really an issue!

Would definitely recommend!",62
57074,6369,2010-06-25,134713,Y. S.,"Great room in non-touristy location.  Convenient to the metro and has lots of tapas bars, bakeries, etc. nearby.",29
